コピペして使ってください.
UserID は5735857 でテストしました. 
・購入データのサンプル
	左から actionID, UserID, ItemID. サンプルはUserIDが全て同じだが他のユーザの情報があってもOK


14389239231,5735857,LT000102533000813350
14389247757,5735857,LT000094758000759468
14389276449,5735857,10148653
14389276455,5735857,LT000031303000423138
14389300000,5735857,BT000049089500200201
14389400000,5735857,LT000104120000827957
14389500000,5735857,10365316
14389600000,5735857,490895
14389700000,5735857,10405918
14389800000,5735857,LT000032591000428805
14389900000,5735857,LT000051004000529063
14390000000,5735857,359534

・レコメンドデータのサンプル
	左から LogicNumber, TargetItem, Rank, ReccomendItem. TargetItem に他の商品があってもOK

3007,LT000102533000813350,1,LT000104120000827957
3007,LT000102533000813350,2,LT000102431000812290
3007,LT000102533000813350,3,LT000085715000707210
3007,LT000102533000813350,4,BT000049089500200201
3007,LT000102533000813350,5,LT000107778000860348
3007,LT000102533000813350,6,LT000062985000587642
3007,LT000102533000813350,7,BT000052934400400401
3007,LT000102533000813350,8,BT000061660300100101
3007,LT000102533000813350,9,BT000057487100100101
3007,LT000102533000813350,10,LT000104502000831863
3007,LT000094758000759468,1,LT000080973000681654
3007,LT000094758000759468,2,LT000080973000681651
3007,LT000094758000759468,3,LT000032591000428805
3007,LT000094758000759468,4,LT000051004000529063
3007,LT000094758000759468,5,LT000099079000787574
3007,LT000094758000759468,6,BT000043957500100101
3007,LT000094758000759468,7,LT000110738000886496
3007,LT000094758000759468,8,LT000108585000867549
3007,LT000094758000759468,9,LT000117242000943767
3007,LT000094758000759468,10,BT000044158900100101
3008,LT000102533000813350,1,10365316
3008,LT000102533000813350,2,10367437
3008,LT000102533000813350,3,490895
3008,LT000102533000813350,4,529344
3008,LT000102533000813350,5,10312526
3008,LT000102533000813350,6,441592
3008,LT000102533000813350,7,574871
3008,LT000102533000813350,8,10391775
3008,LT000102533000813350,9,10405918
3008,LT000102533000813350,10,10332680
3008,LT000094758000759468,1,10298948
3008,LT000094758000759468,2,10405918
3008,LT000094758000759468,3,359534
3008,LT000094758000759468,4,10381634
3008,LT000094758000759468,5,10422549
3008,LT000094758000759468,6,608795
3008,LT000094758000759468,7,439575
3008,LT000094758000759468,8,585927
3008,LT000094758000759468,9,10199579
3008,LT000094758000759468,10,10269127
